 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,"Let's practice ている!

Activity verbs ている = action in progress
Change verbs ている = result of a change

Choose a correct answer for the following questions:

Takeshi is studying right now.",たけしさんは今勉強しています。,たけしさんは今勉強します。,たけしさんは勉強します。,たけしさんは今勉強ます。,たけしさんは今勉強しています。,
,Mary is reading a book in Japanese,メアリーさんは日本語で本をよんでいます。,メアリーさんは日本語で本をよんでいます。,メアリーさんは日本語で本をよんています。,メアリーさんは日本語で本をよんであります。,メアリーさんは日本語で本をよみます。,
,I am teaching Japanese,私は日本語をおしえています。,私は日本語をおしえいます。,私は日本語をおしえています。,私は日本語をおしえてます。,私は日本語をおしえます。,
,Sora is married,ソラさんは結婚（けっこん）しています。,ソラさんは結婚（けっこん）します。,ソラさんは結婚（けっこん）しります。,ソラさんは結婚（けっこん）ます。,ソラさんは結婚（けっこん）しています。,
,Ken is not eating strawberry,けんさんはイチゴをたべていません。,けんさんはイチゴを食べます。,けんさんはイチゴを食べています。,けんさんはイチゴをたべていません。,けんさんはイチゴを食べていませんでした。,
,Sora is living in Korea,ソラさんは韓国に住んでいます。,ソラさんは韓国に行っています。,ソラさんは韓国に住んでいます。,ソラさんは韓国に来ています。,ソラさんは韓国に知っています。,
,Change verbs into ている form: 知る,知っている,知ている,知っている,知いる,知んでいる,
,太る,太っている,太ている,太っている,太いる,太んでいる,
,起きる,起きている,起きている,起きっている,起きる,起きんでいる,
,I am short,私は背（せ）が低い（ひくい）です。,私は背（せ）が低い（ひくい）です。,私は背（せ）が高い（たかい）です。,私は背（せ）が大きい（おおきい）です。,私は背（せ）が小さい（ちさい）です。,
,I am tall,私は背（せ）が高い（たかい）です。,私は背（せ）が低い（ひくい）です。,私は背（せ）が高い（たかい）です。,私は背（せ）が大きい（おおきい）です。,私は背（せ）が小さい（ちさい）です。,
,"Let's practice adjective/noun Te-forms


Te-form for い-adjective is changing the final い to ____",くて,くて,で,です,いて,
,Te-form for な-adjective is changing the final な to ____,で,くて,で,です,いて,
,Te-form for noun + です is changing the final です to ____,で,くて,で,です,いて,
,"Let's practice verb stem + に行く

Choose a correct one:

I went to a restaurant to eat pizza",レストランにピザを食べに行きました。,レストランでピザを食べました。,レストランでピザを食べます。,レストランにピザを食べに行きました。,レストランにピザを食べに行きます。,
,I went to library to read a book,図書館に本を読みに行きました。,図書館に本を読みに行きました。,図書館で本を読みに行きます。,図書館で本を読みに帰りました。,図書館に本を読みに帰ります。,
,"Let's practice for counting people. 

One person",ひとり,ひとり,ふたり,よにん,はちにん,
,Three people,さんにん,よにん,きゅうにん,ふたり,さんにん,
,8 people,はちにん,じゅうにん,はちにん,よにん,ごにん,
,There is four American student in our class,クラスにアメリカ人の学生が四人（よにん）います。,クラスにアメリカ人の学生が一人（ひとり）います。,クラスにアメリカ人の学生が五人（ごにん）います。,クラスにアメリカ人の学生が七人（しちにん）います。,クラスにアメリカ人の学生が四人（よにん）います。,
