 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,image
,Guitar,ギター,キター,キータ,ギター,ギッター,
,"Choose an answer to complete the sentence to Japanese:

Penguins play guitar!

ペンギンがギターを______！",ひきます,ひきます,おどります,はじまります,もらいます,
,Concert,コンサート,チケット,ピアノ,コンサート,メール,
,Boxed lunch,おべんとう,おべんとう,ひるごはん,おへとうん,ピザ,
,さくぶん,Essay; composition,Letter,Kabuki,Essay; composition,Medicine,
,To memorize,おぼえる,うんどうする,にんきがある,おどる,おぼえる,
,Mean-spirited,いじわる,わかい,でる,いじわる,こんど,
,あかい,Red,Black,White,Blue,Red,
,この犬は何色ですか,くろい,あかい,くろい,あおい,しろい,
,こんど,Near future,Last year,Last month,Near future,Near past,
,Illness; sickness,びょうき,びょうき,くすり,しけん,てがみ,
,Young,わかい,さびしい,わかい,あおい,しろい,
,せんげつ,Last month,This year,Last year,This month,Last month,
,To take medicine,くすりをのむ,くすりをのむ,くすりをのま,くすりをたべる,くすりにのむ,
,"Choose an answer to complete the sentence to Japanese:

Did you have dinner already?
_____晩ご飯（ばんごはん）をたべましたか",もう,ぜひ,ところで,そう,もう,
,"A: コーヒーをふたつください

How many coffee did A order?",2,1,2,4,5,
,"A: おべんとうをむっつください

How many boxed lunch did A order?",6,1,4,7,6,
,(Something) begins,はじまる,はじまる,おわる,にんきがある,ひく,
,みんな何をしていますか,おどっています,うたっています,おどっています,のんでいます,おぼえています,
,,,,,,,
