 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,Canada is larger than Japan.,カナダのほうが日本より大きいです。,カナダのほうが日本より大きいです。,日本のほうがカナダより大きいです。,カナダのほが日本より大きいです。,日本のほがカナダより大きいです。,
,Calgary is colder than Tokyo.,カルガリーのほうが東京より寒いです。,カルガリーより東京のほうが寒いです。,カルガリーより東京のほうに寒いです。,カルガリーのほうが東京より寒いです。,カルガリーのほうに東京より寒いです。,
,日本語と英語と中国語の中で、どれがいちばん簡単ですか。,英語がいちばん簡単だと思います。,英語をいちばん簡単だと思います。,英語がいちばん簡単だと思います。,英語といちばん簡単だと思います。,英語でいちばん簡単だと思います。,
,メアリーさんとたけしさんとたなかさんの中で、＿＿＿＿＿がいちばんせが高いですか。,だれ,どれ,どっち,どこ,だれ,
,りんごといちごとももの中で、＿＿＿＿＿がいちばん美味しいと思いますか。,どれ,どれ,どっち,どこ,だれ,
,バンクーバーとカルガリーとトロントの中で、＿＿＿＿＿がいちばん綺麗だと思いますか。,どこ,どれ,どっち,どこ,だれ,
,あした、何をしますか。,友だちと図書館に行くつもりです。,友だちと図書館に行くつもりです。,友だちと図書館に行くつもります。,友だちと図書館に行きつもりです。,友だちと図書館に行きつもります。,
,こんばん、何を食べますか。,ラーメンを食べるつもりです。,ラーメンを食べつもりです。,ラーメンを食べるつもりです。,ラーメンを食べたつもりです。,ラーメンを食べつもりでした。,
,来週、テストがありますから、週末、＿＿＿＿＿＿。,勉強するつもりです,勉強するつもりです,勉強するつもります,勉強しつもりです,勉強しつもります,
,きのう、バンフに行きましたか。,いいえ、バンフに行くつもりでしたが、風邪をひいたから、行きませんでした。,いいえ、バンフに行ったつもりますが、風邪をひいたから、行きませんでした。,いいえ、バンフに行ったつもりですが、風邪をひいたから、行きませんでした。,いいえ、バンフに行くつもりましたが、風邪をひいたから、行きませんでした。,いいえ、バンフに行くつもりでしたが、風邪をひいたから、行きませんでした。,
,メアリーさんは料理するのが＿＿＿＿＿なりましたね。,上手に,上手,上手な,上手に,上手で,
,たけしさんのかみが＿＿＿＿＿なりました。,長く,長い,長いに,長く,長くい,
,あの人は＿＿＿＿＿＿なりました。,ゆうめいに,ゆうめいな,ゆうめいに,ゆうめいだ,ゆうめい,
,九月から、＿＿＿＿＿なります。,忙しく,忙しく,忙しい,忙く,忙いに,
,今回のテストは前より＿＿＿＿＿なりました。,かんたんに,かんたんに,かんたん,かんたく,かんたに,
,"Q：ひるごはんに何を食べましたか。 
A：＿＿＿＿＿＿＿＿＿＿＿",何も食べませんでした。,何を食べませんでした。,何も食べませんでした。,何か食べませんでした。,何が食べませんでした。,
,"Q：週末、どこかに行きますか。 
A：＿＿＿＿＿＿＿＿＿＿＿＿",どこにも行かないつもりです。,どこかに行かないつもりです。,どこかも行かないつもりです。,どこにも行かないつもりです。,どこを行かないつもりです。,
,日本人と日本語＿話しました。,で,は,で,に,が,
,スマホ＿１＿ニュース＿２＿見ました。,で,を,で,に,が,
,スマホ＿１＿ニュース＿２＿見ました。,を,を,で,に,が,
