 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,東,east,east,west,south,north,
,北,north,south,west,east,north,
,南,みなみ,ひがし,みなみ,きた,にし,
,西,にし,ひがし,きた,みなみ,にし,
,Foreigner,外国人,外国人,外国,外国語,海外,
,North,北,西,東,南,北,
,Right,右,下,右,左,上,
,Left,左,右,上,下,左,
,To exit,出る,口,先,分ける,出る,
,North exit,北口,出口,南口,北口,東口,
,Birth,生まれる,分,外,生まれる,先生,
,Teacher,先生,先週,先生,学生,大学,
,Country,国,大学,国,語,外,
,大,big,big,dog,outside,ahead,
,大学,university,university,teacher,adult,school,
,学生,student,school,student,teacher,to study,
,中国,China,Korea,foreign country,China,ahead,
,五分,ごふん,じゅっぷん,ごふん,ごぷん,じぶん,
,右,みぎ,ひだり,ぐち,みぎ,きた,
,出口,でぐち,きたぐち,でぐち,ひがしぐち,みなみぐち,
