 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,明日、たけしさんとデートがありますから、えいがを＿。,みたい,みます。,みたい。,みたくない。,みました。,
,友だちとけんかしているから、＿。,会いたくないです。,会いたいです。,会いたくないです。,会いたかったです。,会いたいと思っています。,
,しごとはたいへんだから、,をやめたいです。,をやめたいです。,がやめたいです。,にやめたいです。,はやめたいです。,
,きのう、ナオミさんとはなしました。ナオミさんはちゅうごくに＿。,行きたいと言っていました。,行った。,行きたい。,行きたいと言っていました。,行きたいと思いました。,
,メアリーさん：ナオミさん、久しぶりですね。ナオミさんはちゅうごく＿。ナオミさん：いいえ、りょこうしたいです。,にりゅうがくしたいですか。,にりゅうがくしました。,をりゅうがくしました。,にりゅうがくしたいですか。,にりゅうがくしたいです。,
,たけしさん：ナオミさんはちゅうごくに＿。,りょこうしたがっています。,りょこうしたいです。,りょこうしたいと思います。,りょこうしたくないです。,りょこうしたがっています。,
,やま＿のぼりたいです。,に,は,が,に,を,
,ねこをにひき＿かっている。,✕,は,✕,に,を,
,おかあさん＿友だち＿しょうかいする。,に／を,は／が,は／に,に／を,は／を,
,"This question is in two parts, please select the answer for the FIRST underline. 明日大学で＿、＿。",べんきょうしたり,べんきょうする,べんきょうした,べんきょうつもりだ,べんきょうしたり,
,"This question is in two parts, please select the answer for the SECOND underline. 明日大学で＿、＿。",としょかんに行ったりします,としょかんに行たする,としょかんに行たりします,としょかんに行くする,としょかんに行たりした,
,"This question is in two parts, please select the answer for the FIRST underline.　しゅうまつは、＿、＿。",うみでおよいだり,うみでおよぐり,うみでおよんだり,うみでおよいだ,うみでおよいだり,
,"This question is in two parts, please select the answer for the SECOND underline.　しゅうまつは、＿、＿。",友だちとうたったりした,友だちとうたったりする,友だちとうたたりする,友だちとうたったりした,友だちとうたたりした,
,本を読んだり、映画を見たり＿。,するのが好きです,するのが好きです,しますのがすきです,したのが好きです,するがすきです,
,クラスを＿。でも、いかいだけです。びょうきでしたから。,やすんだことがあります。,サボったことがあります。,サボったことがありません,サボたことがあります。,サボったことがありません。,
,A：ばんごはんを食べましたか。B：＿。,はい、もう食べました,はい、食べたことがあります。,いいえ、食べたことがあります。,はい、もう食べました。,いいえ、もう食べました。,
,メアリーさんはじゅぎょうを＿。いい学生ですね。,サボったことがありません,やすんだことがありません。,やすんだことがあります。,やすむことがありません。,やすむことがありません。,
,A：日本に行ったことがあります？,いいえ、ありません。,はい、ありません。,いいえ、行ったことがあります。,はい、いったことがありません。,いいえ、ありません。,
,わたしはかぞく＿きょうと＿ならにいきました。,と／や,は／と,と／や,と／は,や／や,
,私のいえはねこ＿いぬが＿。,や／います,や／います,は／います,や／あります,と／あります,
