 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,"
Let's practice short forms. 
Change the followings into present affirmative short forms: 

飲みます",飲む,飲み,飲む,飲みだ,飲みい,
,かわいいです,かわいい,かわいくない,よくない,かわいい,かわいかない,
,学生です,学生だ,学生でします,学生で,学生だ,学生,
,"present negative short form: 

しずかじゃないです",しずかじゃない,しずかじゃない,しずかじゃないで,しずかじゃないだ,しずかじゃないので,
,作りません,作らない,作りない,作らない,作ってない,作りじゃない,
,"Verb short negative form: 

For ru-verbs, you need to drop the final ___ and add ___",る・ない,る・ない,る・わない,う・ない,う・わない,
,"For u-verbs, you need to drop the final ___ and add ___",う・あない,る・ない,う・ない,う・あない,る・わない,
,"Informal speech uses short forms. 
Choose the correct answer. 

A: 今日、遊び（あそび）に行く？ 

B: ううん、______。(not going)",行かない,行く,行きます,行きません,行かない,
,"But what if A was older with same scenario?

A: 今日、遊び（あそび）に行く？

B: _____________ (not going)",いいえ、行きません。,いいえ、いかない。,はい、行きません。,いいえ、行きません。,はい、わかりました。,
,"
Let's practice ~と思います 

I think strawberry is delicious",イチゴはおいしいと思います。,イチゴをおいしいと思います。,イチゴはおいしいと思います。,イチゴはおいしいだと思います。,イチゴにおいしいと思います,
,"
I think Japanese class is fun",日本語のクラスはおもしろいと思います。,日本語のクラスはおもしろいだと思います。,日本語のクラスはおもしろくないと思います。,日本語のクラスはおもしろいと思います。,日本語のクラスはおもしろいと思いません。,
,"
I think today's test was difficult",今日のテストは難しかったと思います。,今日のテストは難しいと思います。,今日のテストは難しいと思いました。,今日のテストは難しかったと思いません。,今日のテストは難しかったと思います。,
,"Let's practice ～と言っていました

Takeshi said that he likes Mary",たけしさんはメアリーさんが好きだと言っていました。,たけしさんはメアリーさんが好きだと言っていました。,たけしさんはメアリーさんが好きじゃないと言っていました。,たけしさんはメアリーさんが好きだと言います。,たけしさんはメアリーさんが好きじゃないだと言います。,
,Mary said she's not married,メアリーさんは結婚（けっこん）していないと言っていました。,メアリーさんは結婚（けっこん）していると言っていました。,メアリーさんは結婚（けっこん）したいと言っていました。,メアリーさんは結婚（けっこん）していないと言っていました。,メアリーさんは結婚（けっこん）しないと言っていました。,
,Teacher said there would be a test on Wednesday,先生は水曜日にテストがあると言っていました。,先生は水曜日にテストがあると言っていました。,先生は水曜日にテストがないと言っていました。,先生は木曜日にテストがあると言っていました。,先生は金曜日にテストがあると言っていました。,
,"Choose correct answer. 

Please don't take picture.",写真（しゃしん）を撮（と）らないでください。,写真（しゃしん）を撮（と）ないでください。,写真（しゃしん）を撮（と）ないください。,写真（しゃしん）に撮（と）らないでください。,写真（しゃしん）を撮（と）らないでください。,
,I am good at cleaning my room,私は部屋を掃除するのが上手です。,私は部屋を掃除するのがへたです。,私は部屋を掃除するのが上手です。,私は部屋を掃除するのが好きです。,私は部屋を掃除するのがきらいです。,
,I like cooking meals,私は料理をするのが好きです。,私は料理をするのがきらいです。,私は料理をするのがへたです。,私は料理をするのが好きです。,私は料理をするのが上手です。,
,"A: だれが日本語を勉強していますか。 

B: Robert is studying",ロバートさんが勉強しています。,ロバートさんが勉強しています。,ロバートさんは勉強しています。,ロバートさんが勉強します。,ロバートさんは勉強しない。,
,"In a sentence, the word 何か is for ""something"" which is ____, but the word 何も is for ""anything"" which is _____.","positive, negative","negative, positive","positive, negative","positive, positive",none of above,
