 ,,,,,,,,
,,,,,,,,
Reading,Question,Answer,A,B,C,D,E,
,のど,Throat,Leg / Foot,Stomach,Tooth,Throat,,
,は,Tooth,Leg / Foot,Stomach,Tooth,Throat,,
,あし,Leg / Foot,Leg / Foot,Stomach,Tooth,Throat,,
,おなか,Stomach,Leg / Foot,Stomach,Tooth,Throat,,
,かぜ,Cold,Hangover,Cold,Allergy,Cough,,
,ふつかよい,Hangover,Hangover,Cold,Allergy,Cough,,
,アレルギー,Allergy,Hangover,Cold,Allergy,Cough,,
,インフルエンザ,Influenza,Hangover,Cold,Allergy,Cough,,
,せき,Cough,Hangover,Cold,Allergy,Cough,,
,明日、テストがありますから、ちょっと＿＿＿＿＿。,しんぱいします,しんぱいします,あるきます,わかれます,はらいます,,
,もうすぐ学期まつだから、＿＿＿＿＿をひかないでください。,かぜ,かぜ,ねつ,のど,せき,,
,来週、プレゼンテーションがありますから、＿＿＿＿＿。,きんちょうします,きんちょうします,なくします,あるきます,はらいます,,
,Sweet,あまい,ひろい,せまい,おおい,わるい,あまい,いたい
,Bad,わるい,ひろい,せまい,おおい,わるい,あまい,いたい
,Wide / Spacious,ひろい,ひろい,せまい,おおい,わるい,あまい,いたい
,Narrow / Not Spacious,せまい,ひろい,せまい,おおい,わるい,あまい,いたい
,Hurt / Painful,いたい,ひろい,せまい,おおい,わるい,あまい,いたい
,There are many...,おおい,ひろい,せまい,おおい,わるい,あまい,いたい
,できるだけ,As much as possible,Get well soon,For the first time,As much as possible,Very soon,,
,もうすぐ,Very soon,Probably / Maybe,Same,Very soon,As much as possible,,
