 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,image
,たけしに＿＿＿＿＿を返しました。,教科書（きょうかしょ）,窓（まど）,国（くに）,教科書（きょうかしょ）,夜（よる）,
,ちょっと宿題を＿＿＿＿＿ください。,手伝って,座って,手伝って,消して,大変で,
,さっき、シャワーを＿＿＿＿＿。,あびました,あびました,借りました,あけました,持ちました,
,日本語は＿＿＿＿＿がむずかしいです。,漢字（かんじ）,教科書（きょうかしょ）,漢字（かんじ）,お金,荷物（にもつ）,
,"A：ここでタバコを＿＿＿＿＿もいいですか。 
B：いいえ、ここは教室ですから、タバコを＿＿＿＿＿はいけません。",すって,すって,すわって,して,きて,
,まどを＿＿＿＿＿ください。,開けて,借りて,入って,座って,開けて,
,This week,今週,明日,来週,今週,来年,
,Next week,来週,今日,昨日,今週,来週,
,Next year,来年,今年,来年,去年,来週,
,That would be fine,けっこうです,あとで,ゆっくり,けっこうです,ほんとうですか,
,Later on,あとで,あとで,ゆっくり,けっこうです,ほんとうですか,
,Really?,ほんとうですか,あとで,ゆっくり,けっこうです,ほんとうですか,
,シャワー,Shower,Page,Air conditioner,Personal computer,Shower,
,パソコン,Personal computer,Page,Air conditioner,Personal computer,Shower,
,エアコン,Air conditioner,Page,Air conditioner,Personal computer,Shower,
,ページ,Page,Page,Air conditioner,Personal computer,Shower,
,あとで、お母さんに電話_____。,します,きます,します,かます,さます,
,先生、この文法がよくわかりませんから、ちょっと＿＿＿＿＿ください。,教えて,忘れて,教えて,立って,遊んで,
,＿＿＿＿＿を持ちましょうか。,荷物,電車,電気,国,荷物,
,たけしさん、私に教科書を＿＿＿＿＿ください。,返して,使って,返して,持って,忘れて,
