 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,昔,old times,God,cow,old times,red,
,神,God,early,to use,blue,God,
,使,to use,to work,to separate,to use,to reflect,
,色,colour,blue,red,time,colour,
,青,blue,early,red,blue,cow,
,連,to link,to get up,to link,to use,to work,
,早い,early,strong,sick,early,travel,
,牛,cow,red,cow,colour,year,
,々,repetition,hand,near,repetition,ancient time,
,たい度,attitude,attitude,sometime,one time,shrine,
,赤,あか,あお,あか,あが,くろ,
,昔々,むかしむかし,むかしむかし,むかしい,かみさま,ときどき,
,一度,いちど,いちご,こんど,たいど,いちど,
,神社,じんじゃ,しんとう,あか,じんじゃ,べつに,
,To get up,起きる,早い,起きる,食べる,使う,
,Near future,今度,今学期,今週,今度,一度,
,To bring,連れて行く,連れて行く,別れる,働く,勉強する,
,To separate,別れる,時々,人々,特別な,別れる,
,To work,働く,帰る,働く,聞く,書く,
,Cow,牛,牛,年,出,内,
