 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,image
,What is foreign country in Japanese?,がいこく,がいごく,しょうらい,かいごく,がいこく,
,What is art museum in Japanese?,びじゅつかん,びじゅつかん,ひしゅつかん,ひみつ,じんじゃ,
,What is this semester in Japanese?,こんがっき,じゅぎょう,ゆめ,おんせん,こんがっき,
,What is to own (a pet) in Japanese?,かう,ビール,ドライブ,かう,ならう,
,What is to learn in Japanese?,ならう,はしる,ならう,とる,うそをつくる,
,What is to get tired in Japanese?,つかれる,かかる,おぼえる,つかれる,けんかする,
,What is to introduce in Japanese?,しょうかいする,しょうかいする,きめる,れんしゅうする,とまる,
,What is to be late in Japanese?,ちこくする,りょこうする,ちこくする,りゅうがくする,ごろごろする,
,What is and then in Japanese?,そして,どうやって,あるいて,そして,もっと,
,What is just...; only..; in Japanese?,～だけ,～てん,～だけ,～しゅうかん,～かげつ,
,おしょうがつ,New Year's,this semester,shrine,New Year's,festival,
,しゃちょう,president of a company,president of a company,future,snack,this person,
,おなかがすく,to become hungry,to take,to learn,to become hungry,to run,
,やめる,to quit,to be late,to introduce,to have a fight,to quit,
,しゅっしん,coming from,fishing,mountain,coming from,after,
,ひさしぶり,it has been a long time,more,and then,it has been a long time,to study abroad,
,みずうみ,lake,ocean,beach,water,lake,
,おかし,snack,strange,snack,New Year's,festival,
,まあまあ,okay; so-so,okay; so-so,after,coming from,and then,
,しょうらい,future,singer,dream,fishing,future,
