 ,,,,,,,,,,
,,,,,,,,,,
Reading,Question,Answer,A,B,C,D,,,,image
,私のすきなきせつは＿です。,あき,すし,あき,いしゃ,ことし,,,,
,この人の＿はきれいです。,かお,かお,きせつ,あき,はる,,,,
,あしたのよるこのホテルに＿。,とまります。,なります。,きめます。,とまります。,みます。,,,,
,今日のてんきは＿です。,すずしい,おそい,ねむい,すずしい,あたらしい,,,,
,日本ごを＿。,れんしゅうします。,れんしゅうします。,ごろごろします。,おどります。,ひきます。,,,,
,毎日＿を飲みます。,ぎゅうにゅう,トマト,すし,ぎゅうにゅう,おべんとう,,,,
,このおちゃは＿です。,あたたかい,あたたかい,ねむい,おそい,さむい,,,,
,このクイズはすごく＿です。,かんたん,あたたかい,おそい,わかい,かんたん,,,,
,このしゃしんは何ですか。,りんご,りんご,やさい,すし,ケーキ,,,,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiReo-clW-ie2iyVfoqgamuJqB2FMZt6SDeVg0Eiy9gRIJn7LZjQGdhQt5LgVsuczLIwcTwRVxufw4DIjZ3hNOAU9nGHDfD1RGc4E-SxwBEo3IdqSX2P0trhhbT2cvTjOkh_7zwqiXRh0ec/s800/fruit_apple.png
,この人のしごとは何ですか。,いしゃ,おかあさん,ゆうめいじん,いしゃ,こども,,,,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjpsvP9QDnabkeqQ9L1Bw24Vli0KIKPDbrGfyml-X_PLQR0fZ5lGbf9T_clMas9uPzTlopievGQk8n91Olerh8-aJqb4fJkOxrSLIB5l55oEpev2LCSOxpvqhBg593pWT9OywKlwnfm4HrV/s1600/job_doctor_man.png
,このしゃしんは何ですか。,ふね,ちかてつ,しんかんせん,ふね,ひこうき,,,,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgc00xX9BaXadYcQj-7rQJnavlgEETlqHplrF1CHBYwHyJimNbLFscU5yR4wsRX1IXBl0Mrp_wo0TiGg1cLY-OyUQpC94h0JQpoudrmkwqMP2uxg7QHW0VIHiZ5-D6nv7RIdUl1-4kpuNpS/s800/gyosen_small.png
,What is ちかてつ in English?,subway,iron,bullet train,subway,station,,,,
,What is よやくin English?,reservation,reservation,subway,apple,fall,,,,
,What is おそい　in English?,slow,sleepy,easy,lonely,slow,,,,
,What is きめる in English?,to decide,to decide,to practice,to chill out,to become,,,,
,What is やきゅうin English?,baseball,baseball,soccer,someone older,cooking,,,,
,What is えきin English?,station,train,attendant,station,shrimp,,,,
,What is ひこうき in English?,plane,bus,car,plane,ship,,,,
,What is つめたい　in English?,cold (things/people),cold (things/people),cold (weather),quiet,warm,,,,
,What is てぶくろ in English?,gloves,scarf,handkerchief,gloves,socks,,,,
