 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,たった一つの発言で信頼を_そこなう_こともあるので気を付けよう。,損なう,滅なう,底なう,失う,損なう,
,テレビで相撲のライブ_ちゅうけい_が行われている。,中継,注型,中継,中景,中計,
,普段は静かですが、_しゃこうてき_な面も持っている。,社交的,社校的,社交的,社郊的,社較的,
,それは_げきてき_ではなかったが、着実に積み重ねてきたからこその結果だ。,劇的,激的,撃的,劇的,逆的,
,１０年ぶりに高校の時の_おんし_に再会した。,恩師,温子,恩士,温氏,恩師,
,わたしには彼女が_本音_を隠しているように見えた。,ほんね,ほんおん,ほんね,ほんのん,ほんねと,
,優れた_味覚_を活かしていくつものレストランを成功させた。,みかく,あじおぼえ,みおぼえ,みかく,あじかく,
,気兼ね_することなくなんでも話してね。,きがね,きかね,きけんね,けかね,きがね,
,あなたの_中傷_行為は到底許されるものではない。,ちゅうしょう,ちゅうしょう,なかしょう,なかきず,ちゅうきず,
,入学式には多くの_来賓_が出席した。,らいひん,らいひん,らいはま,きひん,きはま,
