 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,いまは一時です。,いちじ,いっじ,いちじ,ひとじ,いちち,
,わたしは七時にだいがくへいきます。,しちじ,ななじ,しちち,しちじ,ななち,
,たけしさんは十二時ごろ、ひるごはんをたべます。,じゅうにじ,じゅうにじ,じゅにじ,じゅうにち,じゅにち,
,せんせいは六時におきます。,ろくじ,ろっじ,ろくじ,ろぐじ,ろくし,
,三時にえいがをみます,さんじ,さんし,さっし,さっじ,さんじ,
,メアリーさんはなん時ごろねますか。,じ,とき,じ,どき,じかん,
,"A：これはいくらですか。
B：百円です。",ひゃくえん,ひゃくえん,ひゃぐえん,びゃぐえん,ぴゃくえん,
,"A：これはいくらですか。
B：八千円です。",はっせんえん,はせんえん,はっせんえん,はせっえん,はせえん,
,"A：これはいくらですか。
B：千五百円です。",せんごひゃくえん,せんこひゃくえん,ぜんこひゃくえん,せんごひゃくえん,ぜんごひゃくえん,
,"A：これはいくらですか。
B：十万円です。",じゅうまんえん,じゅまんえん,ちゅまんえん,じゅうまんえん,ちゅうまんえん,
,"A：これはいくらですか。
B：八百九十円です。",はっぴゃくきゅうじゅうえん,はっぴゃくきゅうじゅうえん,はっびゃくきゅうじゅうえん,はぴゃくきゅじゅうえん,はびゃくきゅうじゅうえん,
,６３のかんじはなんですか。,六十三,七十三,七十二,六十三,六十二,
,８４のかんじはなんですか。,八十四,九十五,九十四,八十五,八十四,
,４２０のかんじはなんですか。,四百二十,四百二十,五百二十,六百二十,七百二十,
,３７００のかんじはなんですか。,三千七百,三千七百,三万七百,三万七千,三千七十,
,きゅうひゃくさんじゅう,九百三十,七百四十,八百三十,六百四十,九百三十,
,よんひゃくろくじゅう,四百六十,五百六十,四百六十,三百六十,二百六十,
,ごせんにひゃく,五千二百,五万二千,五千二百,五百二十,五十二,
,にじゅうさんえん,二十三円,四十二円,二十三円,四千三円,二千四円,
,ろっぴゃくきゅうじゅうえん,六百九十円,六千九十円,六万九百円,六千九百円,六百九十円,
