 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,クラシック＿きゅうみがありますから、ピアノのクラスをとるつもりです。,に,が,を,に,no particle,
,好きなくつ＿なくすると思いましたが、いもうとがくつ＿かりました。,を／を,は／を,を／を,は／が,が／を,
,かのじょとけんかしているから、きのうかのじょ＿。,とわかれた,とわかれる,にわかれる,とわかれた,にわかれた,
,A：ぜんぶのしゅまつ、おなかがいたかったです。今もいたいです。B：それはたいべんですね。＿。,おだいじに,おだいじに,いたくないよ、だいじょうぶです。,じゃあ、あそびほうがいいですよ。,うーん、めがいたいですか。,
,友だち：だいじょうぶですか。どうしたんですか。私：＿。,せいせきがよくないんです,せいせきがいいですよ。,せいせきがよくないんです。,せいせきがたかいんです。,しゅくだいをしました。,
,A：どうしてかれとけんかしましたか。Ｂ：かれは,ぜんぜんシャワーをあびないんです。,やさしい人から、大好きです。,せが高いんです。いいですよ。,しんせつ人なんです、大好きですよ。,ぜんぜんシャワーをあびらないんです。,
,おなかがいたい。カレーを＿。,食べすぎました,食べました,食べすぎる,食べすぎた,ぜんぜん食べない,
,この映画のきっぷは＿。買いません。,たかすぎます,たかすぎます,たかいすぎます,やすいすぎます。,やすすぎます。,
,おおきになりたい、もっと＿。,やさいを食べたほうがいいですよ,やさいを食べたほうがいいですよ,やさいを食べないほうがいいですよ,なんにも食べたほうがいいですよ,ケーキを食べたほうがいいですよ,
,友だち：どうしたの？　Ｂ：たけしさんはパーティーがある。でも、たくさんしゅくだいがある…。友だち：ええ、＿。Ｂ：じゃあ、出かけないつもりだ。,パーティーに行かないほうがいいと思う,パーティーに行ったほうがいいと思う,パーティーに行かないほうがいいと思う,パーティーに行きましたほうがいいと思う,パーティーに行かないほうがよくないと思う,
,出かけたいです＿、あしたテストがあります。,でも,から,ので,でも,そして,
,＿、きのうの夜、ねませんでした。,パーティーに行ったので,ねむいので,ねむいから,パーティーに行ったので,パーティーに行くでも,
,その人は＿、すきです。,すてきなので,いじわるので,いじわるいので,すてきなので,すてきので,
,Combine the sentences：さむいです。コートをきたほうがいいです。,さむいので、コートをきたほうがいいです。,さむいなので、コートをきたほうがいいです。,さむいので、コートをきたほうがいいです。,さむいですので、コートをきたほうがいいです。,さむかったですので、コートをきたほうがいいです。,
,あしたテストがありますから、＿。,日本語をれんしゅうしなきゃいけません,日本語をれんしゅうしません,日本語をれんしゅうしないです,日本語をれんしゅうしなきゃいけません,日本語をれんしゅうしなきゃあいけません,
,あしたのあさ、五時に＿。アルバイトがあります。,おきなきゃいけません,おきます,おきないつもりです,おきなきゃいけませんでした。,おきなきゃいけません,
,せいせきはよくないから、やました先生に＿。,会わなきゃいけません,会なきゃ,会わない,あなきゃいけない,会わなきゃいけない,
,メアリー：だいじょうぶ？ソラ：私はすごくいそがしかった。クラスやアルバイトがある。アルバイトをやめたいでも、＿。,おかねがないから、アルバイトをしなきゃ,おかねがないから、アルバイトをしなきゃ,おかねがないから、アルバイトをいけない,おかねがないから、アルバイトをします,おかねがないから、アルバイトをするいけない,
,たけし：ソラさん、あしたのテストはむずかしいでしょうか。ソラ：ううん、むずかしくないと思います。たけしさんは？たけし：ううん、＿。,たぶん、かんたんでしょう。,かんたんだ,かんたんだでしょうか,たぶん、かんたんだでしょう,たぶん、かんたんでしょう。,
,ナオミ：あした、メアリーさんは＿。たけし：うーん、していません。,パーティーにくるでしょうか,パーティーがあるでしょうか,パーティーがあったでしょうか,パーティーだでしょうか,パーティーでしょうか,
