 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,メアリーさんは、先週（せんしゅう）より元気そうです。,げんき,けんぎ,けんきい,げんき,げんきい,
,今晩、ラーメンを食べませんか。,こんばん,こんばん,こんや,ことし,きょう,
,今晩、ラーメンを食べましょうか。,たべましょう,だいべましょう,だべましょう,たっべましょう,たべましょう,
,"A：夏休み（なつやすみ）に何をしましたか。
B：私はかぞくといっしょに旅行しました。",わたし,わだし,わたし,わたじ,わだじ,
,"A：夏休み（なつやすみ）に何をしましたか。
B：私はかぞくといっしょに旅行しました。",りょこう,りょうこう,りょこう,りゅうこう,りゅこう,
,今日は天気がいいですね。山にのぼりましょうか。,きょう,きょう,きよう,きゅう,きゆう,
,今日は天気がいいですね。山にのぼりましょうか。,てんき,でんき,てんきい,てんぎ,てんき,
,今日は天気がいいですね。山にのぼりましょうか。,やま,かわ,さん,やま,がわ,
,おんせんに行くのがすきです。,いく,いく,ぎょうく,こうく,いっく,
,山に行くのは気持ちがいいです。,きもち,ぎまち,ぎもち,きまち,きもち,
,お母さんとぎんこうに行きました。,銀行,金行,鉄行,銀行,銅行,
,やまかわ先生はわたしのにほんごの先生です。,山川,山川,石川,山田,石田,
,やまかわ先生はわたしのにほんごの先生です。,私,和,払,利,私,
,このクラスはおんなのひともおとこのひともいます。,女の人,文の人,又の入,女の人,女の入,
,このクラスはおんなのひともおとこのひともいます。,男の人,早の人,勇の人,勇の人,男の人,
,ビールをのみますか。,飲みます,食みます,飲みます,飯みます,餅みます,
,きのう、たけしとえいがをみました。楽しかったです。,見ました,貝ました,目ました,見ました,日ました,
,いま、ともだちととしょかんで勉強します。,今,今,冷,令,念,
,たなかさんはあのせがたかいひとです。,田中,山川,山田,田中,石川,
,たなかさんはあのせがたかいひとです。,人,八,人,入,大,
