 ,,,,,,,,,,
,,,,,,,,,,
Reading,Question,Answer,A,B,C,D,,,,image
,みずを＿,のみます。,のみます。,たべます。,おきます。,みます。,,,,
,おんがくを＿,ききます。,おきます。,たべます。,いきます。,ききます。,,,,
,うちに＿,かえります。,かえります。,はなします。,たべます。,ききます。,,,,
,がっこうに＿,いきます。,おきます。,よみます。,いきます。,します。,,,,
,What is this picture?,おちゃ,コーヒー,おちゃ,おさけ,みず,,,,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgd5-O8V_Mn_eGJuunhSTmZmKkllbDIe4G3V1bR3JD_cd4bEHiXccFDVv0KE18sjfcjn7Xk3lH2JuOsTPjeq_YTjpVqzvPE6AYLUlssuugnbXpiDPWQkaStQWxEZXTxYjDps2Wdt1t0VTQ/s800/obon_ocha.png
,What is this picture?,ハンバーガー,ばんごはん,あさごはん,ハンバーガー,おさけ,,,,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgujVNYlDUUQ7Lp8k9ahcr6gzPjDs0h_8QpLJ4MfvLv54yPzr77jxo-AsL1Da3j673fOLWmk29VUB8Z7aFn1pb0FEdoBv8HDDNj_tx3J4JPjvL7okazprqSeg9miTJdwvlKwmhv-0EPwM6r/s800/food_hamburger.png
,What is this picture?,にちようび,にちようび,あした,どようび,きょう,,,,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhKC2EyTX4iiiBiPq9OHLxKW2YsYwSgf9AnNbW3p1GuPGIMaBFbFVVdAjv05tOCX6EBHwAHqeewsV2whuwqYYXDnoOzbCmbeNxgtjLC3EUGCZpJNx3hDghgzBlaCR2vDdefqhrZQ86x-nrZ/s800/week1_sunday.png
,わたしは＿ねません。(I do not sleep much) Fill in the blank.,あまり,よく,あまり,ぜんぜん,たいてい,,,,
,わたしは＿べんきょうします。(I often study) Fill in the blank.,よく,ときどき,ちょっと,よく,あまり,,,,
,わたしは＿をみます。（I watch movies) Fill in the blank.,えいが,えいが,おんがく,ざっし,テレビ,,,,
,しちじ＿。(I wake up at seven o'clock) Fill in the blank.,におきます。,をおきます。,におきます。,おきます。,はおきます。,,,,
,うちでコーヒーを＿。(I will drink coffee at home.) Fill in the blank.,のみます。,たべます。,かきます。,のみます。,よみます。,,,,
,わたしはコンビニに＿いきます。(I often go to the convenience store.) Fill in the blank.,よく,よく,たいてい,ときどき,ぜんぜん,,,,
,What is the correct spelling for date?,デート,でと,デト,デート,でーと,,,,
,What is the spelling for ice cream?,アイスクリーム,アイスクリーム,アイスクリム,アイスクリー,アイスクリムー,,,,
,"Select the correct sentence for ""When will you eat breakfast?""",いつあさごはんをたべますか。,いつばんごはんをたべますか。,いつあさごはんをたべますか。,いつひるごはんをたべますか。,いつたべますか。,,,,
,"Select the correct sentence for ""I often wake up at 8:00 o'clock.""",わたしはよくはちじにおきます。,わたしはあまりはちじにおきます。,わたしはよくはちじにおきます。,わたしはよくはちじにねます。,わたしはぜんぜんはちじにおきません。,,,,
,"Select the correct sentence for ""Takeshi never eats breakfast""",たけしさんはぜんぜんあさごはんをたべません。,たけしさんはぜんぜんあさごはんをたべません。,たけしさんはぜんあまりたべます。,たけしさんはぜんぜんひるごはんをたべません。,たけしさんはあまりひるごはんをたべません。,,,,
,"Select the correct sentence for ""I sometimes read magazines""",わたしはときどきざっしをよみます。,わたしはたくさんざっしをよみます。,わたしはときどきざっしをよみます。,わたしはぜんぜんざっしをよみます。,わたしはよくざっしをよみます。,,,,
,"Select the correct sentence for ""Mary does not come back much""",メアリーさんはあまりかえりません。,メアリーさんはぜんぜんかえりません。,メアリーさんはとてもかえりません。,メアリーさんはよくかえりません。,メアリーさんはよくかえりません。,,,,
