 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,The verb is a ___ when you see vowels e or i before final る (for most cases),る-verb,う-verb,る-verb,Irregular verb,,
,"The verb is a ____ when you see the vowels a, o, or u before final る",う-verb,う-verb,る-verb,Irregular verb,,
,Change たべる into ～ます and ～ません,たべます・たべません,たべます・たべません,たべります・たべりません,たべるます・たべるません,,
,Change きく into ～ます and ～ません,ききます・ききません,きます・きません,きくます・きくません,ききます・ききません,,
,Change のむ into ～ます and ～ません,のみます・のみません,のむます・のむません,のみます・のみません,のます・のません,,
,Change はなす into ～ます and ～ません,はなします・はなしません,はなます・はなません,はなすます・はなすません,はなします・はなしません,,
,Change よむ into ～ます and ～ません,よみます・よみません,よます・よません,よみます・よみません,よむます・よむません,,
,Change する into ～ます and ～ません,します・しません,します・しません,すります・すりません,すます・すません,,
,"Choose the correct sentence with particle を for the following questions: 

ハンバーガー／食べる ",ハンバーガーを食べます,食べますハンバーガーを,ハンバーガーを食べます,ハンバーガーを食べります,,
,音楽・聞く,音楽を聞きます,音楽を聞くます,音楽を聞きます,聞きますを音楽,,
,テニス・する,テニスをします,テニスをすります,テニスにします,テニスをします,,
,"Choose the correct sentence with particle で for the following questions:
ハンバーガーを食べます・マクドナルド",マクドナルドでハンバーガーを食べます,ハンバーガーを食べますでマクドナルド,マクドナルドハンバーガーを食べます,マクドナルドでハンバーガーを食べます,,
,音楽を聞きます・うち,うちで音楽を聞きます,うち音楽を聞きます,うちで音楽を聞きます,音楽を聞きますでうち,,
,コーヒーを飲みます・カフェ,カフェでコーヒーを飲みます,カフェコーヒーを飲ます,カフェでコーヒーを飲みます,カフェコーヒーを飲みます,,
,"Choose the correct sentence with particle に:

Sora is going to the post office",ソラさんは郵便局に行きます,ソラさんは郵便局に来ます,ソラさんは郵便局に行きます,ソラさんは行きますに郵便局,,
,Choose an option that does not use the particle に after the following time references,明日 （あした）,十時半 （じゅうじはん）,九月 （くがつ）,明日 （あした）,月曜日 （げつようび）,
,Choose all that do not use the particle に after,毎日 （まいにち）,いつ,木曜日 （もくようび）,毎日 （まいにち）,一時 （いちじ）,
,Choose a correct sentence for invitation,ひるごはんを食べませんか,ひるごはんに食べますか,ひるごはんに食べませんか,ひるごはんを食べませんか,,
,"Choose a correct one for the following sentence:

I do not drink coffee much",私はあまりコーヒーを飲みません,私はときどきコーヒーを飲みます,私はぜんぜんコーヒーを飲みます,私はあまりコーヒーを飲みます,私はあまりコーヒーを飲みません,
,I sometimes watch a movie,私はときどき映画（えいが）を見（み）ます,私はときどき映画（えいが）を見（み）ます,私はあまり映画（えいが）を見（み）ます,私はたいてい映画（えいが）を見（み）ます,私はときどき映画（えいが）を見（み）ません,
