 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,大切な資料を_たずさえて_出張に向かう。,携えて,携えて,持えて,捕えて,付えて,
,医者から健康のために塩分を_ひかえる_よう言われた。,控える,控える,配える,懸かる,抑える,
,みんなが離れていく中でも彼女はその場に_とどまった_。,留まった,溜まった,留まった,閉まった,維まった,
,年齢よりも_ふけて_見えることを悩んでいるそうだ。,老けて,老けて,若けて,齢けて,増けて,
,思春期を過ぎると_おしゃれ_に気を使うようになる。,お洒落,お華麗,お写令,お化粧,お洒落,
,５歳の男の子がした_画期的_な発明が話題になっている。,かっきてき,かっきてき,かくきてき,がっきてき,がきてき,
,彼の言動には_矛盾_が多くて信じがたい。,むじゅん,ほこじゅん,こうじゅん,むじゅん,こうちゅん,
,しっかり_宛名_を確認してからポストに投函する。,あてな,うでめい,あてめい,あてな,うでな,
,新しいプロジェクトが_発足_してから半年が経過した。,ほっそく,はつあし,ほあし,はっそく,ほっそく,
,_見栄_を張ると失敗することもある。,みえ,けんえい,みえい,みえ,けんえ,
