 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,"Let's practice conjugation rule for past tense of short form!

Choose a correct answer for describing conjugation rule of affirmative verbs in the past tense short form.",Replace the te-form endings て/で to た/だ,Replace the te-form endings て/で to た/だ,Replace でした form to だった,Replace ない to なかった,Replace い ending to かった,
,Choose a correct answer for describing conjugation rule of affirmative いadjectives in the past tense short form,Replace い ending to かった,Replace い ending to かった,Replace ない to なかった,Replace でした form to だった,Replace the te-form endings て/で to た/だ,
,Choose a correct answer for describing conjugation rule of affirmative なadjectives ＋です in the past tense short form,Replace でした form to だった,Replace ない to なかった,Replace the te-form endings て/で to た/だ,Replace い ending to かった,Replace でした form to だった,
,Choose a correct answer for describing conjugation rule of affirmative noun + です in the past tense short form,Replace でした form to だった,Replace い ending to かった,Replace でした form to だった,Replace ない to なかった,Replace the te-form endings て/で to た/だ,
,Choose a correct answer for describing conjugation rule of negative in the past tense short form,Replace ない (conjugates as an い adjective) to なかった,Replace ない (conjugates as an い adjective) to なかった,Replace the te-form endings て/で to た/だ,Replace い ending to かった,Replace でした form to だった,
,What is past affirmative short form of 食べる?,食べた,食べた,食べて,食べだ,食べる,
,What is past affirmative short form of 読む?,読んだ,読んだ,読んで,読んた,読んま,
,What is past affirmative short form of 見る?,見た,見った,見た,見んだ,見いた,
,What is past affirmative short form of かわいい (い adjective)?,かわいかった,かわいがった,かわいいだった,かわいいたった,かわいかった,
,What is past affirmative short form of 静か（しずか、な adjective)?,しずかだった,しずかかった,しずかだった,しずかかっだ,しずかでした,
,What is past affirmative short form of わかい (い adjective)?,わかかった,わかいだった,わかいかった,わかかった,わかいでした,
,What is past affirmative short form of 先生（noun）?,先生だった,先生でした,先生たった,先生だった,先生かった,
,What is past negative short form of いい?,よくなかった,よくなかった,いいだった,いいかった,よかった,
,"Let's make a sentence using ~と思います：

たけしさんは子どもの時、元気でしたか",はい、元気だったと思います,はい、元気だったと思います,いいえ、元気くなかったと思います,いいえ、げんきじやないと思います,はい、元気じゃなかったと思います,
,お母さん：高校の時、トマトが好きでした,お母さんは、高校の時、トマトが好きだったと言っていました,お母さんは、高校の時、トマトが好きだったと言っていました,お母さんは、高校の時、トマトを好きだと言っていました,お母さんは、高校の時、トマトが好きでしたと言っていました,お母さんは、高校の時、トマトが好きかったと言っていました,
,たなかさんはどの人ですか,ゲームをしている人です,勉強している人です,食べている人です,ゲームをしている人です,おどっている人です,
,ソラさんはどの人ですか,勉強している人です,おどっている人です,ゲームをしている人です,勉強している人です,食べている人です,
,I have already eat my boxed lunch,もうおべんとうを食べました,もうおべんとうを食べました,もうおべんとうを食べていません,まだおべんとうを食べていません,まだおべんとうを食べました,
,"Let's use ~から to make a sentence:

I didn't study because I was busy",勉強しませんでした。忙しかったですから。,勉強しませんでした。楽しかったから。,勉強しました。忙しいかったですから。,勉強しませんでした。忙しかったですから。,勉強しませんでした。寒かったから。,
,"Let's use ~から to make a sentence:

I will sleep early because I have a test tomorrow",あしたしけんがあるから、早く（はやく）ねます,あしたしけんがあるから、早く（はやく）ねます,あしたしけんがあるから、早く（はやく）ねました,あしたしけんがあります。早く（はやく）ねます。,あしたしけんがありません、早く（はやく）ねます,
