 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,今日はよく_はれています_が、少し寒いです。,晴れています,明れています,晴れています,曇れています,青れています,
,_ほし_を見に山へ行きました。,星,星,月,雲,風,
,_とりがないています_。,鳥が鳴いています,島が鳴いています,鳥が泣いています,島が無いています,鳥が鳴いています,
,_ばんごう_を忘れないようにメモしました。,番号,順番,数字,番号,勉強,
,_こうえん_でピクニックをしました。,公園,動物園,集団,野菜,公園,
,_お客様_の声を大切にしています。,おきゃくさん,おかくさん,おきゃくさん,おかくさま,おきゃくさま,
,_自然_の中でリラックスできました。,しぜん,しねん,しぜん,じぜん,じてん,
,わたしのしゅみは_料理_です。,りょうり,じょうじ,じょうり,りょうじ,りょうり,
,ここに_住所_を書いてください。,じゅうしょ,じゅうしょう,じゅうしょ,じゅうしき,じゅしょ,
,映画館で新しい_映画_を観ました。,えいが,えうが,えいが,ええが,えーが,
